epoch,loss,train_acc,val_acc
1,3.1459,8.29,20.51
2,2.7719,31.71,51.28
3,2.301,54.15,66.67
4,1.8208,69.76,76.92
5,1.3956,79.51,84.62
6,1.2364,81.95,89.74
7,1.1032,87.32,89.74
8,1.0125,89.27,87.18
9,0.9818,93.66,87.18
10,0.9268,93.17,89.74
11,0.8307,97.07,87.18
12,0.8477,95.12,89.74
13,0.8191,95.61,89.74
14,0.8191,96.59,87.18
15,0.7891,98.05,89.74
16,0.7679,98.54,87.18
